"LSOA21CD","RGN23NM","BSC_Blue_withgaps_withLondon","BSC_Blue_withgaps_noLondon","BSC_Blue_nogaps_withLondon","BSC_Blue_nogaps_noLondon","BSC_BlueProximate_withgaps_withLondon","BSC_BlueProximate_withgaps_noLondon","BSC_BlueProximate_nogaps_withLondon","BSC_BlueProximate_nogaps_noLondon","BGC_Blue_withgaps_withLondon","BGC_Blue_withgaps_noLondon","BGC_Blue_nogaps_withLondon","BGC_Blue_nogaps_noLondon","BGC_BlueProximate_withgaps_withLondon","BGC_BlueProximate_withgaps_noLondon","BGC_BlueProximate_nogaps_withLondon","BGC_BlueProximate_nogaps_noLondon"
"E01000305","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000306","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000307","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000308","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000309","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000310","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000311","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000312","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000313","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000314","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000315","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000316","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000317","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000318","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000319","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000320","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000321","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
